epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
53,0.01107252,0.06458038,0.11225576,0.88932948,0.05957173,0.09963716,0.90281597,0.06958903,0.12359267,0.87835856,0.05730491,0.09490526,0.92321318,0.05474359,0.07886016,0.93607927,0.05986622,0.10860521,0.91409667
54,0.01082113,0.06431917,0.11260804,0.88863377,0.05921763,0.09917383,0.90371772,0.06942071,0.12460214,0.87636336,0.05781776,0.09560296,0.92208002,0.05604080,0.08066911,0.93311311,0.05959472,0.10850045,0.91426232
55,0.01064886,0.06228541,0.11044080,0.89287921,0.05696178,0.09744523,0.90704487,0.06760904,0.12206050,0.88135581,0.05591412,0.09368279,0.92517861,0.05246679,0.07636968,0.94005286,0.05936145,0.10826173,0.91463918
56,0.01040640,0.06601119,0.11301879,0.88781986,0.06279434,0.10238751,0.89737666,0.06922803,0.12273260,0.88004564,0.05814628,0.09677193,0.92016287,0.05584776,0.07982215,0.93451025,0.06044480,0.11116670,0.90999676
57,0.01035813,0.06320952,0.11081137,0.89215914,0.05891521,0.09768209,0.90659242,0.06750383,0.12254194,0.88041804,0.05628521,0.09429302,0.92420069,0.05337098,0.07654048,0.93978442,0.05919945,0.10919662,0.91315855
58,0.01019965,0.06356213,0.11123246,0.89133797,0.06116836,0.10039822,0.90132565,0.06595591,0.12110127,0.88321325,0.05627405,0.09430071,0.92418834,0.05530520,0.07906460,0.93574741,0.05724290,0.10739663,0.91599794
59,0.00981254,0.06261686,0.11080071,0.89217988,0.05940870,0.09880530,0.90443197,0.06582502,0.12161871,0.88221312,0.05409071,0.09144249,0.92871433,0.05254762,0.07566225,0.94115834,0.05563380,0.10487460,0.91989690
60,0.00978018,0.06150525,0.10977873,0.89415969,0.05729221,0.09674845,0.90836946,0.06571830,0.12141860,0.88260041,0.05447795,0.09272426,0.92670187,0.05162566,0.07504257,0.94211823,0.05733025,0.10753693,0.91577832
61,0.00957757,0.06214542,0.11053679,0.89269292,0.05828478,0.09838168,0.90524967,0.06600605,0.12148172,0.88247832,0.05455692,0.09173205,0.92826215,0.05299065,0.07619104,0.94033299,0.05612318,0.10499745,0.91970913
62,0.00939301,0.06364007,0.11104625,0.89170149,0.06261779,0.10157097,0.89900696,0.06466235,0.11977427,0.88575868,0.05505796,0.09256869,0.92694762,0.05468021,0.07746888,0.93831479,0.05543571,0.10552961,0.91889320
63,0.00927342,0.05985798,0.10836544,0.89686731,0.05552010,0.09534766,0.91100363,0.06419586,0.11997901,0.88536778,0.05230672,0.08955053,0.93163364,0.05115022,0.07413019,0.94351714,0.05346322,0.10268062,0.92321337
64,0.00916452,0.06058510,0.10840874,0.89678488,0.05732964,0.09724408,0.90742824,0.06384056,0.11852637,0.88812678,0.05300233,0.09118774,0.92911097,0.05201295,0.07580397,0.94093769,0.05399172,0.10432721,0.92073092
65,0.00912197,0.06138889,0.10962446,0.89445696,0.05872719,0.09830397,0.90539930,0.06405059,0.11988065,0.88555565,0.05313295,0.09014293,0.93072612,0.05334612,0.07606639,0.94052806,0.05291978,0.10230054,0.92378077
66,0.00900933,0.06026544,0.10815254,0.89727217,0.05843573,0.09809630,0.90579858,0.06209514,0.11735015,0.89033615,0.05270634,0.09042014,0.93029940,0.05209329,0.07452920,0.94290746,0.05331939,0.10390863,0.92136572
67,0.00891542,0.06056083,0.10845743,0.89669214,0.05714726,0.09582765,0.91010535,0.06397439,0.11976265,0.88578085,0.05427298,0.09217669,0.92756503,0.05377139,0.07664310,0.93962286,0.05477456,0.10544628,0.91902123
68,0.00869146,0.05924554,0.10763622,0.89825066,0.05592653,0.09533842,0.91102089,0.06256455,0.11866634,0.88786240,0.05294149,0.09112907,0.92920216,0.05137450,0.07446861,0.94300024,0.05450849,0.10518290,0.91942526
