epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
47,0.00289214,0.04518423,0.09144190,0.92656465,0.04036957,0.06608633,0.95724612,0.04999889,0.11115682,0.90160605,0.03761509,0.05929744,0.97002370,0.04097713,0.05943229,0.96369459,0.03425306,0.05916228,0.97450832
48,0.00290973,0.04745362,0.09852086,0.91475457,0.04351450,0.07231022,0.94881395,0.05139274,0.11909640,0.88704813,0.03640568,0.05829569,0.97102797,0.03845813,0.05724016,0.96632341,0.03435322,0.05933244,0.97436147
49,0.00275999,0.04387350,0.09052476,0.92803033,0.03866774,0.06388042,0.96005267,0.04907926,0.11094483,0.90198098,0.03725495,0.06073234,0.96855540,0.03996742,0.06039941,0.96250340,0.03454249,0.06106345,0.97284366
50,0.00281060,0.04422922,0.08929602,0.92997085,0.04023871,0.06525932,0.95830948,0.04821973,0.10811465,0.90691809,0.03721058,0.05897772,0.97034608,0.04019946,0.05945292,0.96366938,0.03422171,0.05849866,0.97507699
51,0.00280895,0.04323905,0.08962198,0.92945864,0.03820812,0.06504964,0.95857695,0.04826998,0.10877842,0.90577164,0.03565199,0.05784879,0.97147047,0.03745370,0.05722876,0.96633683,0.03385029,0.05846224,0.97510801
52,0.00278660,0.04545406,0.09191371,0.92580489,0.04179914,0.07025684,0.95167971,0.04910897,0.10936286,0.90475638,0.03779563,0.05944248,0.96987688,0.03987377,0.05748643,0.96603301,0.03571749,0.06133618,0.97260054
53,0.00276716,0.04362227,0.08850082,0.93121254,0.04022450,0.06481824,0.95887114,0.04702003,0.10706720,0.90871298,0.03715439,0.05966337,0.96965259,0.04100912,0.06205627,0.96041799,0.03329966,0.05717040,0.97619594
54,0.00263348,0.04260427,0.08686863,0.93372639,0.03815089,0.06194996,0.96243059,0.04705765,0.10608732,0.91037625,0.03619826,0.05708781,0.97221612,0.03950409,0.05772745,0.96574759,0.03289243,0.05644092,0.97679953
55,0.00256815,0.04008097,0.08163677,0.94146895,0.03680819,0.05938950,0.96547199,0.04335375,0.09900511,0.92194309,0.03708044,0.05917453,0.97014784,0.03914988,0.05805225,0.96536107,0.03501099,0.06027592,0.97353960
56,0.00261502,0.04262564,0.08589060,0.93521031,0.03739761,0.06110277,0.96345113,0.04785367,0.10498019,0.91223712,0.03598633,0.05656141,0.97272614,0.03717986,0.05436058,0.96962652,0.03479281,0.05867975,0.97492244
57,0.00251260,0.04057877,0.08253024,0.94018076,0.03697963,0.05988462,0.96489388,0.04417791,0.10018140,0.92007726,0.03697170,0.05822240,0.97110077,0.04108599,0.06054177,0.96232644,0.03285740,0.05580671,0.97731799
58,0.00254547,0.04567935,0.09051094,0.92805230,0.04073783,0.06623645,0.95705167,0.05062087,0.10953171,0.90446206,0.03881830,0.06165136,0.96759653,0.04150201,0.06152638,0.96109108,0.03613460,0.06177609,0.97220610
59,0.00247425,0.04092036,0.08433758,0.93753209,0.03797763,0.06366815,0.96031771,0.04386308,0.10085644,0.91899657,0.03757240,0.06073085,0.96855694,0.04160236,0.06363092,0.95838376,0.03354245,0.05768517,0.97576533
60,0.00249757,0.04455020,0.08958999,0.92950899,0.04048363,0.06574711,0.95768391,0.04861678,0.10830536,0.90658942,0.03848257,0.06087176,0.96841086,0.04005507,0.05853564,0.96478180,0.03691007,0.06312147,0.97098230
61,0.00249313,0.04248584,0.08544733,0.93587732,0.03972918,0.06372406,0.96024799,0.04524251,0.10267296,0.91605240,0.03737307,0.05944892,0.96987035,0.04002330,0.05938529,0.96375199,0.03472284,0.05951249,0.97420563
62,0.00250740,0.04226476,0.08526210,0.93615503,0.04098272,0.06646376,0.95675639,0.04354681,0.10060725,0.91939634,0.03625692,0.05703409,0.97226839,0.04027611,0.05857312,0.96473668,0.03223773,0.05545236,0.97760512
63,0.00247262,0.04189435,0.08506552,0.93644908,0.03945719,0.06493437,0.95872364,0.04433152,0.10127100,0.91832929,0.03430375,0.05451830,0.97466093,0.03630758,0.05365585,0.97040894,0.03229992,0.05536732,0.97767376
64,0.00232022,0.04049031,0.08214132,0.94074322,0.03788757,0.06241162,0.96186856,0.04309305,0.09797542,0.92355829,0.03471198,0.05431362,0.97485083,0.03719467,0.05424911,0.96975096,0.03222929,0.05437806,0.97846445
65,0.00238602,0.04114234,0.08413807,0.93782730,0.03767659,0.06120781,0.96332536,0.04460809,0.10203937,0.91708527,0.03690795,0.05960831,0.96970858,0.04030319,0.06153777,0.96107667,0.03351271,0.05761426,0.97582488
66,0.00241085,0.04166882,0.08528284,0.93612395,0.03794837,0.06134610,0.96315945,0.04538927,0.10384114,0.91413126,0.03549386,0.05733646,0.97197357,0.03838428,0.05809300,0.96531242,0.03260344,0.05656980,0.97669345
67,0.00231325,0.03898775,0.08033811,0.94331633,0.03682035,0.05884633,0.96610067,0.04115516,0.09718814,0.92478184,0.03545276,0.05613326,0.97313749,0.03850301,0.05630069,0.96741979,0.03240251,0.05596532,0.97718888
68,0.00228076,0.04029259,0.08214997,0.94073074,0.03853009,0.06205344,0.96230499,0.04205508,0.09821713,0.92318065,0.03661455,0.05764517,0.97167096,0.04008337,0.05892687,0.96430945,0.03314573,0.05633431,0.97688709
69,0.00228470,0.03976835,0.08313539,0.93930030,0.03570358,0.05942997,0.96542492,0.04383312,0.10144488,0.91804859,0.03589430,0.05832753,0.97099631,0.03796727,0.05812919,0.96526918,0.03382134,0.05852520,0.97505437
70,0.00217829,0.03878785,0.08190467,0.94108416,0.03513357,0.05914685,0.96575355,0.04244212,0.09959117,0.92101624,0.03416051,0.05583322,0.97342389,0.03666044,0.05676030,0.96688569,0.03166057,0.05489048,0.97805666
71,0.00217410,0.03982462,0.08210896,0.94078990,0.03680342,0.06130008,0.96321470,0.04284583,0.09862080,0.92254789,0.03547196,0.05684251,0.97245437,0.03772237,0.05726334,0.96629613,0.03322155,0.05641855,0.97681791
72,0.00222029,0.03945259,0.08256447,0.94013113,0.03573412,0.06035790,0.96433678,0.04317106,0.09995352,0.92044044,0.03396306,0.05518687,0.97403564,0.03623404,0.05502340,0.96888132,0.03169208,0.05534987,0.97768783
73,0.00214731,0.04075797,0.08442381,0.93740428,0.03722320,0.06178421,0.96263137,0.04429274,0.10216394,0.91688269,0.03433199,0.05531556,0.97391441,0.03623880,0.05488321,0.96903968,0.03242518,0.05574456,0.97736848
74,0.00212017,0.03937571,0.08277496,0.93982548,0.03622416,0.06034654,0.96435021,0.04252726,0.10030793,0.91987524,0.03496327,0.05595270,0.97331003,0.03663913,0.05476886,0.96916856,0.03328740,0.05711200,0.97624454
75,0.00214241,0.04014569,0.08312836,0.93931057,0.03728177,0.06134934,0.96315555,0.04300961,0.10028412,0.91991328,0.03462572,0.05553329,0.97370864,0.03734328,0.05595718,0.96781614,0.03190815,0.05510615,0.97788389
76,0.00217228,0.03905908,0.08169094,0.94139125,0.03464589,0.05794162,0.96713501,0.04347226,0.09994792,0.92044936,0.03447725,0.05520970,0.97401415,0.03648217,0.05459380,0.96936533,0.03247232,0.05581880,0.97730816
77,0.00207393,0.03897143,0.08169193,0.94138983,0.03710358,0.06035980,0.96433454,0.04083928,0.09850806,0.92272489,0.03296079,0.05247898,0.97652114,0.03508301,0.05214957,0.97204703,0.03083858,0.05280634,0.97969136
78,0.00209283,0.03889874,0.08078568,0.94268300,0.03643834,0.06049278,0.96417722,0.04135914,0.09691891,0.92519800,0.03569531,0.05717177,0.97213433,0.03806198,0.05757478,0.96592852,0.03332865,0.05676591,0.97653158
79,0.00208783,0.03921115,0.08267446,0.93997150,0.03567658,0.05998460,0.96477656,0.04274572,0.10035926,0.91979323,0.03619063,0.05955067,0.96976713,0.03922758,0.06073860,0.96208107,0.03315367,0.05833855,0.97521323
80,0.00198782,0.03987633,0.08221611,0.94063527,0.03695345,0.06128226,0.96323609,0.04279920,0.09881023,0.92225008,0.03501412,0.05667756,0.97261401,0.03656272,0.05574979,0.96805426,0.03346552,0.05759039,0.97584491
81,0.00202061,0.03701311,0.08000086,0.94379123,0.03371896,0.05747016,0.96766767,0.04030725,0.09745490,0.92436836,0.03416065,0.05576903,0.97348496,0.03555973,0.05552573,0.96831052,0.03276158,0.05601127,0.97715140
82,0.00197316,0.03961757,0.08365573,0.93853808,0.03700022,0.06116636,0.96337501,0.04223493,0.10126816,0.91833387,0.03425956,0.05514319,0.97407673,0.03672957,0.05598781,0.96778090,0.03178955,0.05428543,0.97853775
83,0.00203949,0.03916635,0.08233332,0.94046588,0.03596487,0.06132968,0.96317916,0.04236782,0.09897585,0.92198921,0.03302956,0.05349158,0.97560634,0.03450734,0.05367853,0.97038391,0.03155178,0.05330397,0.97930679
84,0.00199543,0.03822766,0.08108006,0.94226451,0.03559133,0.05939395,0.96546681,0.04086400,0.09808319,0.92339003,0.03281817,0.05237787,0.97661153,0.03528285,0.05269009,0.97146457,0.03035350,0.05206378,0.98025851
85,0.00206369,0.04021693,0.08566477,0.93555055,0.03768198,0.06367925,0.96030388,0.04275188,0.10306241,0.91541434,0.03426381,0.05616384,0.97310821,0.03780519,0.05924532,0.96392265,0.03072244,0.05290317,0.97961681
86,0.00200942,0.03883995,0.08219413,0.94066700,0.03667071,0.06148338,0.96299438,0.04100918,0.09864858,0.92250425,0.03237591,0.05226344,0.97671361,0.03467966,0.05214785,0.97204888,0.03007217,0.05237878,0.98001890
87,0.00192550,0.03780843,0.08016348,0.94356249,0.03447985,0.05784412,0.96724553,0.04113700,0.09750089,0.92429695,0.03312359,0.05342267,0.97566915,0.03487391,0.05310681,0.97101142,0.03137326,0.05373667,0.97896947
88,0.00192181,0.03788569,0.07987088,0.94397374,0.03443716,0.05739938,0.96774726,0.04133423,0.09728323,0.92463458,0.03332635,0.05388912,0.97524241,0.03460915,0.05298233,0.97114716,0.03204354,0.05478090,0.97814418
89,0.00185361,0.03777898,0.08185079,0.94116165,0.03458263,0.05965189,0.96516622,0.04097534,0.09920059,0.92163455,0.03368526,0.05547545,0.97376339,0.03474169,0.05326838,0.97083477,0.03262884,0.05759801,0.97583851
90,0.00195486,0.03816315,0.08164250,0.94146073,0.03504280,0.05964862,0.96517004,0.04128350,0.09885868,0.92217381,0.03356710,0.05503886,0.97417473,0.03475013,0.05395199,0.97008139,0.03238407,0.05610467,0.97707514
91,0.00190388,0.03995049,0.08446272,0.93734657,0.03627241,0.06076839,0.96385006,0.04362856,0.10283533,0.91578666,0.03368120,0.05528161,0.97394641,0.03565412,0.05504345,0.96885863,0.03170829,0.05551876,0.97755146
92,0.00182682,0.03696879,0.07962616,0.94431653,0.03511921,0.05822963,0.96680748,0.03881838,0.09638445,0.92602072,0.03205235,0.05172948,0.97718700,0.03409190,0.05150595,0.97273275,0.03001280,0.05195205,0.98034315
93,0.00181393,0.03698240,0.08004676,0.94372673,0.03408142,0.05709445,0.96808904,0.03988339,0.09775066,0.92390861,0.03277684,0.05351222,0.97558751,0.03486227,0.05297622,0.97115381,0.03069141,0.05404289,0.97872910
94,0.00183990,0.03826624,0.08209307,0.94081282,0.03496204,0.05963167,0.96518983,0.04157044,0.09961229,0.92098274,0.03350572,0.05466222,0.97452697,0.03513811,0.05435883,0.96962847,0.03187333,0.05496393,0.97799790
95,0.00181981,0.03920852,0.08256533,0.94012988,0.03497555,0.05938953,0.96547196,0.04344150,0.10053333,0.91951475,0.03494618,0.05700695,0.97229477,0.03638849,0.05626915,0.96745628,0.03350386,0.05773532,0.97572318
96,0.00175250,0.03762393,0.07961152,0.94433701,0.03515079,0.05788632,0.96719772,0.04009707,0.09656688,0.92574040,0.03330655,0.05284366,0.97619370,0.03607112,0.05368272,0.97037928,0.03054199,0.05199105,0.98031362
97,0.00178666,0.03967217,0.08344781,0.93884322,0.03612348,0.06104308,0.96352250,0.04322085,0.10099909,0.91876726,0.03346967,0.05444054,0.97473316,0.03458775,0.05241538,0.97176135,0.03235160,0.05639301,0.97683890
