LLE system NO.,Model,Component 1,Component 1 SMILES,Component 2,Component 2 SMILES,Component 3,Component 3 SMILES,T/K,P/kPa,Ex1,Ex2,Ex3,Rx1,Rx2,Rx3
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8162,0.1759,0.0079,0.0213,0.2463,0.7324
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.8081,0.1835,0.0084,0.0227,0.256,0.7213
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7998,0.1912,0.009,0.0242,0.2656,0.7102
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7915,0.1989,0.0096,0.0258,0.2752,0.699
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7831,0.2067,0.0103,0.0274,0.2847,0.6879
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7746,0.2145,0.0109,0.0292,0.2942,0.6767
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.766,0.2223,0.0117,0.031,0.3036,0.6654
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7574,0.2301,0.0125,0.0329,0.3129,0.6541
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7487,0.238,0.0133,0.0349,0.3222,0.6428
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7398,0.246,0.0142,0.0371,0.3315,0.6314
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7309,0.254,0.0151,0.0393,0.3407,0.62
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7219,0.262,0.0161,0.0417,0.3498,0.6086
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7128,0.2701,0.0172,0.0441,0.3589,0.597
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.7035,0.2782,0.0183,0.0467,0.3678,0.5854
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6942,0.2864,0.0195,0.0495,0.3768,0.5738
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6847,0.2946,0.0208,0.0524,0.3856,0.562
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.675,0.3029,0.0221,0.0554,0.3944,0.5502
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6653,0.3112,0.0236,0.0586,0.4031,0.5383
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6553,0.3196,0.0251,0.062,0.4117,0.5263
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6452,0.3281,0.0267,0.0656,0.4202,0.5142
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6349,0.3366,0.0285,0.0694,0.4286,0.5019
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6244,0.3452,0.0304,0.0734,0.437,0.4896
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6137,0.3539,0.0324,0.0777,0.4452,0.4771
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.6028,0.3627,0.0346,0.0822,0.4533,0.4645
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5915,0.3715,0.0369,0.087,0.4613,0.4517
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.58,0.3805,0.0395,0.0921,0.4692,0.4387
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5682,0.3896,0.0422,0.0976,0.477,0.4255
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.556,0.3988,0.0452,0.1034,0.4846,0.4121
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5434,0.4081,0.0484,0.1097,0.492,0.3983
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5303,0.4176,0.052,0.1164,0.4992,0.3843
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5167,0.4274,0.056,0.1237,0.5063,0.37
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.5024,0.4372,0.0603,0.1317,0.5131,0.3552
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.4875,0.4473,0.0652,0.1405,0.5197,0.3398
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.4715,0.4577,0.0708,0.1502,0.526,0.3238
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.4544,0.4684,0.0772,0.1612,0.5319,0.3069
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.4361,0.4794,0.0846,0.1739,0.5373,0.2888
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.4152,0.4911,0.0937,0.1887,0.5421,0.2692
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.3908,0.5038,0.1054,0.2071,0.5459,0.247
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.365,0.5171,0.1179,0.2257,0.5495,0.2248
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.3322,0.5321,0.1357,0.2512,0.5512,0.1976
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.3039,0.5461,0.1499,0.2713,0.554,0.1747
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2868,0.5576,0.1556,0.2798,0.5593,0.1609
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2793,0.5667,0.1539,0.2786,0.5669,0.1545
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2747,0.5751,0.1502,0.2745,0.5752,0.1503
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2703,0.5835,0.1462,0.2702,0.5835,0.1463
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.266,0.5917,0.1423,0.2659,0.5918,0.1424
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2616,0.6002,0.1382,0.2615,0.6002,0.1383
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2573,0.6083,0.1344,0.2572,0.6084,0.1344
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2529,0.6167,0.1304,0.2528,0.6167,0.1305
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2485,0.625,0.1265,0.2485,0.625,0.1265
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2442,0.6332,0.1226,0.2441,0.6332,0.1226
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2398,0.6415,0.1187,0.2398,0.6415,0.1187
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2355,0.6497,0.1148,0.2354,0.6497,0.1148
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2311,0.6579,0.111,0.2311,0.6579,0.111
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2268,0.6661,0.1071,0.2267,0.6661,0.1071
1,NRTL,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.2224,0.6743,0.1033,0.2224,0.6743,0.1033
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,1.0,0.0,0.0,0.0058,0.002,0.9923
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9999,0.0001,0.0,0.0061,0.0193,0.9745
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9998,0.0001,0.0,0.0065,0.0364,0.9571
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9998,0.0002,0.0,0.0069,0.0531,0.94
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9997,0.0002,0.0,0.0073,0.0695,0.9232
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9997,0.0003,0.0,0.0077,0.0857,0.9066
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9996,0.0003,0.0,0.0082,0.1015,0.8903
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9996,0.0004,0.0,0.0086,0.1171,0.8743
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9995,0.0004,0.0,0.0091,0.1324,0.8585
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9995,0.0005,0.0,0.0095,0.1475,0.843
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9994,0.0005,0.0,0.01,0.1623,0.8278
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9994,0.0006,0.0,0.0105,0.1768,0.8127
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9993,0.0006,0.0,0.011,0.1911,0.798
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9993,0.0007,0.0,0.0115,0.2051,0.7834
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9992,0.0007,0.0,0.012,0.2189,0.7691
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9992,0.0008,0.0,0.0125,0.2325,0.755
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9992,0.0008,0.0,0.013,0.2459,0.7411
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9991,0.0009,0.0,0.0135,0.259,0.7275
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9991,0.0009,0.0,0.0141,0.2719,0.714
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.999,0.0009,0.0,0.0146,0.2846,0.7008
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.999,0.001,0.0,0.0152,0.2971,0.6877
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.999,0.001,0.0,0.0157,0.3094,0.6749
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9989,0.0011,0.0,0.0163,0.3215,0.6622
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9989,0.0011,0.0,0.0169,0.3334,0.6497
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9988,0.0011,0.0,0.0175,0.3451,0.6374
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9988,0.0012,0.0,0.0181,0.3566,0.6253
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9988,0.0012,0.0,0.0187,0.3679,0.6134
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9987,0.0012,0.0,0.0193,0.3791,0.6017
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9987,0.0013,0.0,0.0199,0.39,0.5901
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9987,0.0013,0.0,0.0205,0.4008,0.5787
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9986,0.0013,0.0,0.0211,0.4115,0.5674
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9986,0.0014,0.0,0.0217,0.4219,0.5563
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9986,0.0014,0.0,0.0224,0.4322,0.5454
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9986,0.0014,0.0,0.023,0.4424,0.5346
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9985,0.0015,0.0,0.0236,0.4524,0.524
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9985,0.0015,0.0,0.0243,0.4622,0.5135
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9985,0.0015,0.0,0.0249,0.4719,0.5032
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9984,0.0015,0.0,0.0256,0.4814,0.493
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9984,0.0016,0.0,0.0262,0.4908,0.483
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9984,0.0016,0.0,0.0269,0.5,0.4731
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9984,0.0016,0.0,0.0276,0.5091,0.4633
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9983,0.0016,0.0,0.0282,0.5181,0.4537
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9983,0.0017,0.0,0.0289,0.5269,0.4442
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9983,0.0017,0.0,0.0296,0.5356,0.4348
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9983,0.0017,0.0,0.0302,0.5442,0.4256
1,UNIFAC,Water,O,Diethoxymethane,CCOCOCC,p-Xylene,Cc1ccc(C)cc1,303.15,101.325,0.9982,0.0017,0.0,0.0309,0.5526,0.4164
